Topic,Note
Travel Tourism,Travel and Tourism Site for Vermont 
Tourism Site,Travel and Tourism Site for Vermont 
Travel Tourism Site,Travel and Tourism Site for Vermont 
Virginia Department,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. "
Virginia Department,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. "
York State,"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  "
Department Transportation,"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  "
York State,"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  "
New York State,"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  "
New York State,"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  "
Cooperative Extension,Alabama Cooperative Extension System 
Cooperative Extension,New Mexico Cooperative Extension Publications 
Department Public,Alabama Department of Public Health 
Public Health,Alabama Department of Public Health 
Travel Tourism,Travel and Tourism Site for Alabama 
Tourism Site,Travel and Tourism Site for Alabama 
Travel Tourism Site,Travel and Tourism Site for Alabama 
National Guard,Alabama National Guard Counterdrug Program 
State Board,Alabama State Board of Medical Examiners (an administrative and regulatory agency of the state of Alabama) and the Medical Licensure Commission of Alabama 
Department Education,Alabama State Department of Education 
Travel Tourism,Travel and Tourism Site for American Samoa 
Tourism Site,Travel and Tourism Site for American Samoa 
Travel Tourism Site,Travel and Tourism Site for American Samoa 
National Guard,Arkansas National Guard 
Travel Tourism,Travel and Tourism Site for Arizona 
Tourism Site,Travel and Tourism Site for Arizona 
Travel Tourism Site,Travel and Tourism Site for Arizona 
Travel Tourism,Travel and Tourism Site for Arkansas 
Tourism Site,Travel and Tourism Site for Arkansas 
Travel Tourism Site,Travel and Tourism Site for Arkansas 
Department Education,Arkansas Department of Education 
Economic Development,Arkansas Economic Development Coorporation (AEDC) 
State Board,Arkansas State Board of Optometry 
State Board,Arkansas State Board of Physical Therapy 
State Board,Arkansas State Board of Collection Agencies 
York State,New York State Public Service Commission’s Consumer Web Site 
New York State,New York State Public Service Commission’s Consumer Web Site 
State Board,Arizona State Board of Dental Examiners 
Carolina Department,"USS North Carolina Battleship, North Carolina Department of Cultural Resources "
North Carolina Department,"USS North Carolina Battleship, North Carolina Department of Cultural Resources "
Department Cultural Resources,"USS North Carolina Battleship, North Carolina Department of Cultural Resources "
North Carolina Board,North Carolina Board of Massage & Bodywork Therapy 
Department Public,"California Environmental Health Tracking Program, California Department of Public Health "
Public Health,"California Environmental Health Tracking Program, California Department of Public Health "
Economic Development,Maryland Department of Business and Economic Development 
Department Transportation,"Coliseum Boulevard Plume (CBP), an area in Montgomery, Alabama, where the groundwater 10-50 feet below land surface contains trichloroethylene (TCE).  Investigation, management, and cleanup of the groundwater is being conducted by the https://www.dot.state.al.us/ Alabama Department of Transportation (ALDOT). "
Travel Tourism,Travel and Tourism Site for Colorado 
Tourism Site,Travel and Tourism Site for Colorado 
Travel Tourism Site,Travel and Tourism Site for Colorado 
Carolina Department,"Correction Enterprises, North Carolina Department of Public Safety "
Department Public,"Correction Enterprises, North Carolina Department of Public Safety "
North Carolina Department,"Correction Enterprises, North Carolina Department of Public Safety "
Travel Tourism,Travel and Tourism Site for Connecticut 
Tourism Site,Travel and Tourism Site for Connecticut 
Travel Tourism Site,Travel and Tourism Site for Connecticut 
National Guard,Delaware National Guard 
NC Department,"Division of Employment Security (DES), NC Department of Commerce (NCC) "
Travel Tourism,Travel and Tourism Site for Ohio 
Tourism Site,Travel and Tourism Site for Ohio 
Travel Tourism Site,Travel and Tourism Site for Ohio 
Travel Tourism,Travel and Tourism Site for South Carolina 
Tourism Site,Travel and Tourism Site for South Carolina 
Travel Tourism Site,Travel and Tourism Site for South Carolina 
Virginia Department,Virginia Department of Motor Vehicles 
Department Education,American Samoa Department of Education 
Carolina Department,"Driving95 Corridor Planning and Finance Study website, North Carolina Department of Transportation (NCDOT) "
Department Transportation,"Driving95 Corridor Planning and Finance Study website, North Carolina Department of Transportation (NCDOT) "
North Carolina Department,"Driving95 Corridor Planning and Finance Study website, North Carolina Department of Transportation (NCDOT) "
National Guard,Wisconsin National Guard Drug Control Program 
Washington State,Washington State University ExtensionEnergy Program 
Washington State,Travel and tourism site for Washington State 
Travel Tourism,Travel and Tourism Site for Georgia 
Tourism Site,Travel and Tourism Site for Georgia 
Travel Tourism Site,Travel and Tourism Site for Georgia 
Cooperative Extension,Virginia Cooperative Extension  
Washington State,Washington State University Extension 
State University Extension,Washington State University Extension 
State University Extension,Iowa State University Extension 
Cooperative Extension,New Mexico Cooperative Extension Service 
Cooperative Extension Service,New Mexico Cooperative Extension Service 
State University Extension,Oregon State University Extension Service 
Cooperative Extension,Purdue (Indiana) Cooperative Extension 
Cooperative Extension,University of Delaware Cooperative Extension Service 
Cooperative Extension Service,University of Delaware Cooperative Extension Service 
Department Education,Florida Department of Education 
National Guard,Florida National Guard Counterdrug.  n   Florida Counterdrup Program - Under this authority our office provides oversight of the FLARNG and FLANG Substance Abuse Prevention Programs.      
Public Health,"Florida Environmental Public Health Tracking, Florida Department of Health This web portal was supported by Cooperative Agreement Number 5U38EH000941 from the Centers for Disease Control and Prevention. Its contents are solely the responsibility of the authors (FL Tracking Team) and do not necessarily represent the official views of the Centers for Disease Control and Prevention. "
National Guard,Georgia National Guard 
Department Education,State of Georgia Department of Education 
Department Education,"GEAR UP Mississippi operates as part of the Institutions of Higher Learning, Office of Academic and Student Affairs in collaboration with the Mississippi Department of Education, State Board for Community and Junior Colleges and community and national partners. Funding is provided by the United States Department of Education. "
State Board,"GEAR UP Mississippi operates as part of the Institutions of Higher Learning, Office of Academic and Student Affairs in collaboration with the Mississippi Department of Education, State Board for Community and Junior Colleges and community and national partners. Funding is provided by the United States Department of Education. "
Department Education,"GEAR UP Mississippi operates as part of the Institutions of Higher Learning, Office of Academic and Student Affairs in collaboration with the Mississippi Department of Education, State Board for Community and Junior Colleges and community and national partners. Funding is provided by the United States Department of Education. "
National Guard,Lousiana National Guard 
Travel Tourism,"Hawaii Tourism Authority, Travel and Tourism Site for Hawaii "
Tourism Site,"Hawaii Tourism Authority, Travel and Tourism Site for Hawaii "
Travel Tourism Site,"Hawaii Tourism Authority, Travel and Tourism Site for Hawaii "
Carolina Department,"Got to Be NC Agriculture, Goodness Grows in NC, North Carolina Department of Agriculture & Consumer Services "
North Carolina Department,"Got to Be NC Agriculture, Goodness Grows in NC, North Carolina Department of Agriculture & Consumer Services "
NC Department,"Got To Be NC Festival, a production of the NC Department of Agriculture "
Department Education,Hawaii State Department of Education 
National Guard,Idaho Army National Guard 
Travel Tourism,Travel and Tourism Site for New York 
Tourism Site,Travel and Tourism Site for New York 
Travel Tourism Site,Travel and Tourism Site for New York 
Economic Development,Guam Economic Development Authority (GEDA) web site. GEDA is an autonomous agency of the Government of Guam and a Guam public corporation. 
Development Authority,Guam Economic Development Authority (GEDA) web site. GEDA is an autonomous agency of the Government of Guam and a Guam public corporation. 
Economic Development Authority,Guam Economic Development Authority (GEDA) web site. GEDA is an autonomous agency of the Government of Guam and a Guam public corporation. 
Economic Development,Iowa Economic Development Authority 
Development Authority,Iowa Economic Development Authority 
Economic Development Authority,Iowa Economic Development Authority 
National Guard,Iowa National Guard 
Public Health,"The North Carolina Division of Public Health, Injury and Violence Prevention Branch, Youth Suicide Prevention Program works in collaboration with The North Carolina Youth Suicide Prevention Task Force to address youth suicide prevention in North Carolina. "
